predicted_labels	true_labels	lil_interpretations	gil_interpretations
5	5	[('to As pen', -0.42140108346939087), ('from Den ver', -0.4237297773361206), ('Den ver', -0.5791646838188171), ('As pen', -0.5836991667747498)]	['Where was the Cisalpine Republic , 1797-185 , ?', 'Where was the Ligurian Republic , 1797-185 , ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?', 'What meter was invented by C.C. Magee in 1935 ?', 'What sound does Olympia , Washington , overlook ?', 'Who lives at 24 Sussex Drive , Ottawa ?', 'What is a fear of odors , body , ?', 'What prison is found in Ossining , New York ?', 'What college enlivens Hanover , New Hampshire ?', 'Which U.S. President is buried in Washington , D.C. ?']
4	4	[('count y', -0.8167744576931), ('Mode sto', -0.8231068998575211), ('California in', -0.828932136297226), ('Mode sto ', -0.9122650250792503)]	['Where is the actress , Marion Davies , buried ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?', 'Where was the Ligurian Republic , 1797-185 , ?', 'Where was the Cisalpine Republic , 1797-185 , ?', 'What is a fear of odors , body , ?', 'What sound does Olympia , Washington , overlook ?', 'What college enlivens Hanover , New Hampshire ?', 'Which U.S. President is buried in Washington , D.C. ?', 'What does caliente mean , in English ?', 'What does U.S.S.R. stand for ?']
3	3	[('Who was Galileo', -0.42614156007766724), ('was Galileo', -0.5910229682922363)]	['Who does the voices of the Simpsons ?', 'What is the text of the Fifth Amendment ?', 'Who was Secretary of State during the Nixon administration ?', 'When was the Bill of Rights ratified ?', 'Who was The Pride of the Yankees ?', 'Who was chief engineer of the Starship Enterprise ?', 'How much did the Iran-Contra investigation cost ?', 'How many colonies were involved in the American Revolution ?', 'When did they canonize the Bible ?', 'What type of bridge is the Golden Gate Bridge ?']
2	2	[('an atom', -0.8446324318647385), ('is an atom', -0.9074442014098167), ('What is an atom', -0.9501296617090702)]	"['What is the theory of equivalence states ?', 'When is the Tulip Festival in Michigan ?', 'What is the function of RAM ?', 'Who created the character of Scrooge ?', 'How does an ion drive work ?', 'How do you clean an LCD monitor screen ?', 'What is the nature of learning ?', 'What is the formula to calculate pi ?', ""What is a `` node '' in computer terms ?"", 'What are the living conditions in Cuba ?']"
5	5	[('a state', -0.6756040155887604)]	['Where was the Ligurian Republic , 1797-185 , ?', 'Where was the Cisalpine Republic , 1797-185 , ?', 'What meter was invented by C.C. Magee in 1935 ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?', 'What is a fear of odors , body , ?', 'What prison is found in Ossining , New York ?', 'Who lives at 24 Sussex Drive , Ottawa ?', 'What college enlivens Hanover , New Hampshire ?', 'Who is John Macarthur , 1767-1834 ?', 'Which U.S. President is buried in Washington , D.C. ?']
5	5	[('the Se ars Building', -0.14194589853286743), ('Se ars', -0.5189180672168732)]	['Where was the Ligurian Republic , 1797-185 , ?', 'Where was the Cisalpine Republic , 1797-185 , ?', 'Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?', 'What is a fear of odors , body , ?', 'What meter was invented by C.C. Magee in 1935 ?', 'What does U.S.S.R. stand for ?', 'What D.H. Lawrence novel was originally titled Tenderness ?', 'Which U.S. President is buried in Washington , D.C. ?']
3	3	[('in which baseball team', -0.3071902394294739), ('a small interest', -0.337867796421051), ('baseball team', -0.5406354069709778), ('in which', -0.5787161886692047)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?', 'What is a fear of odors , body , ?', 'Where was the Ligurian Republic , 1797-185 , ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?', 'Where was the Cisalpine Republic , 1797-185 , ?', 'What does caliente mean , in English ?', 'What does U.S.S.R. stand for ?', 'What D.H. Lawrence novel was originally titled Tenderness ?', 'What are Cobol , Fortran , and Pascal ?']
1	1	[]	"['How do you do a topic outline ?', 'What type of food makes you fat ?', 'What is the population of Arcadia , Florida ?', 'Where in a tree does photosynthesis occur ?', 'What does the name Gina mean ?', ""What 's the most common street name in America ?"", 'What is the population of Kansas ?', 'Who owns the rights on a TV program ?', 'When was the Bill of Rights ratified ?', ""What 's the most common surname in America ?""]"
2	2	[('the ', -0.8537436276674271), ('orang e', -0.8541348874568939), ('turn orang e', -0.911018617451191)]	['What is the theory of equivalence states ?', 'When is the Sun closest to the Earth ?', 'How does an ion drive work ?', 'What is the temperature today ?', 'What is the formula to calculate pi ?', 'What is the function of RAM ?', 'What is the nature of learning ?', 'Where is the Isle of Man ?', 'How do you clean an LCD monitor screen ?', 'What is Toulmin logic ?']
2	2	[('is autism', -0.8424878716468811), ('What is autism', -0.909508965909481)]	"['When is the Tulip Festival in Michigan ?', 'What is the theory of equivalence states ?', 'When was the Bill of Rights ratified ?', 'What are the current immigration laws in US ?', 'How can I stop or slow down aging ?', ""What is a `` node '' in computer terms ?"", 'Who created the character of Scrooge ?', 'What is the function of RAM ?', ""What 's the Fahrenheit equivalent of zero degrees centigrade ?"", 'What is the nickname of the Cleveland Indians ?']"
